Fecha,Cliente,Haber,EFECTIVO,TRANSFERENCIA,N° CHEQUE,BANCO,IMPORTE_CH,observaciones
2024-09-01,BRONZEN S.A,100000,100000,0,,,,
2024-09-01,CERALFA S.A,80000,0,80000,,,,
2024-09-01,DESCARTABLES DEL ESTE S.A,95000,95000,0,,,,
2024-09-02,OCHENTA&SIETE SA,50000,50000,0,,,,
2024-09-02,A+ D SRL,120000,0,120000,,,,
2024-09-03,AGROQUIMICOS MAUAL S.A,87500,87500,0,,,,
2024-09-03,ALBERDI WORK SA,62000,62000,0,,,,
2024-09-04,DANIEL FLAVIANI,45000,45000,0,,,,
2024-09-04,DISEÑO E ILUMINACION,110000,0,110000,,,,
2024-09-05,BENJAMIN SAN JUAN,90000,90000,0,,,,
2024-09-05,BRONZEN S.A,78000,0,78000,,,,
2024-09-06,CERALFA S.A,105000,50000,55000,,,,
2024-09-06,DESCARTABLES DEL ESTE S.A,65000,65000,0,,,,
2024-09-07,OCHENTA&SIETE SA,85000,0,85000,,,,
2024-09-07,A+ D SRL,98000,98000,0,,,,
2024-09-08,AGROQUIMICOS MAUAL S.A,120000,120000,0,,,,
2024-09-08,ALBERDI WORK SA,72000,0,72000,,,,
2024-09-09,DANIEL FLAVIANI,55000,55000,0,,,,
2024-09-09,DISEÑO E ILUMINACION,95000,95000,0,,,,
2024-09-10,BENJAMIN SAN JUAN,76000,0,76000,,,,
